Count	Generation	LogLikelihood	NChanges.Feat1	NChanges.Feat2	NChanges.All	Proto123456.Feat1.a	Proto123456.Feat2.a	NC.Proto123456.Feat1	NC.Proto123456.Feat2	NC.Proto123456.All	Proto123456..Proto123	Proto123456..Proto123.Feat1	Proto123456..Proto123.Feat2	Proto123456..Proto123.All	Proto123.Feat1.a	Proto123.Feat2.a	NC.Proto123.Feat1	NC.Proto123.Feat2	NC.Proto123.All	Proto123..Lang1	Proto123..Lang1.Feat1	Proto123..Lang1.Feat2	Proto123..Lang1.All	Lang1.Feat1.d	Lang1.Feat2.d	NC.Lang1.Feat1	NC.Lang1.Feat2	NC.Lang1.All	Proto123..Lang2	Proto123..Lang2.Feat1	Proto123..Lang2.Feat2	Proto123..Lang2.All	Lang2.Feat1.d	Lang2.Feat2.m	NC.Lang2.Feat1	NC.Lang2.Feat2	NC.Lang2.All	Proto123..Lang3	Proto123..Lang3.Feat1	Proto123..Lang3.Feat2	Proto123..Lang3.All	Lang3.Feat1.d	Lang3.Feat2.d	NC.Lang3.Feat1	NC.Lang3.Feat2	NC.Lang3.All	Proto123456..Proto45	Proto123456..Proto45.Feat1	Proto123456..Proto45.Feat2	Proto123456..Proto45.All	Proto45.Feat1.a	Proto45.Feat2.a	NC.Proto45.Feat1	NC.Proto45.Feat2	NC.Proto45.All	Proto45..Lang4	Proto45..Lang4.Feat1	Proto45..Lang4.Feat2	Proto45..Lang4.All	Lang4.Feat1.m	Lang4.Feat2.d	NC.Lang4.Feat1	NC.Lang4.Feat2	NC.Lang4.All	Proto45..Lang5	Proto45..Lang5.Feat1	Proto45..Lang5.Feat2	Proto45..Lang5.All	Lang5.Feat1.d	Lang5.Feat2.d	NC.Lang5.Feat1	NC.Lang5.Feat2	NC.Lang5.All	Feat1.U.2.Alpha	Feat2.U.2.Alpha	
11	0	-19.838591	-1	-1	-1	1	0	0	0	0	0.043122	0	0	0	1	0	0	0	0	0.167254	0	0	0	0	1	-1210080912	-1210080912	0	0.066117	0	0	0	1	0	-1210080912	-1210080912	-3	0.022230	0	0	0	1	1	-1210080912	-1210080912	-3	0.037755	0	0	0	1	1	0	0	0	0.181662	0	0	0	1	1	0	0	0	0.016918	0	0	0	0	0	0	0	0	1.000000	1.000000	
1	1400	-6.171327	2	1	3	0	1	0	0	0	0.030259	1	0	1	1	1	1	0	1	0.147869	1	0	1	0	1	2	0	2	0.065793	0	0	0	1	1	1	0	1	0.033153	0	0	0	1	1	1	0	1	0.016662	0	0	0	0	1	0	0	0	0.115695	0	0	0	0	1	0	0	0	0.041060	0	1	1	0	0	0	1	1	1.043234	1.057136	
4	1500	-8.768042	2	2	4	1	1	0	0	0	0.080878	0	0	0	1	1	0	0	0	0.109565	1	0	1	0	1	1	0	1	0.146166	0	0	0	1	1	0	0	0	0.079342	0	0	0	1	1	0	0	0	0.040276	1	1	2	0	0	1	1	2	0.358302	0	1	1	0	1	1	2	3	0.032976	0	0	0	0	0	1	1	2	1.052351	1.033807	
11	2200	-6.526585	2	1	3	1	1	0	0	0	0.047215	0	0	0	1	1	0	0	0	0.217550	1	0	1	0	1	1	0	1	0.065793	0	0	0	1	0	0	0	0	0.033153	0	0	0	1	1	0	0	0	0.034829	0	0	0	1	1	0	0	0	0.208468	0	0	0	1	1	0	0	0	0.045824	1	1	2	0	0	1	1	2	1.078415	1.183814	
1	3400	-5.560704	2	1	3	1	1	0	0	0	0.030015	0	0	0	1	1	0	0	0	0.260964	1	0	1	0	1	1	0	1	0.065793	0	0	0	1	1	0	0	0	0.093756	0	0	0	1	1	0	0	0	0.023506	0	0	0	1	1	0	0	0	0.208468	0	0	0	0	1	0	0	0	0.045824	1	1	2	0	0	1	1	2	1.060779	1.092013	
5	3500	-9.801069	2	1	3	1	1	0	0	0	0.051942	0	0	0	1	1	0	0	0	0.098690	1	0	1	0	1	1	0	1	0.080456	0	0	0	1	0	0	0	0	0.114000	0	0	0	1	1	0	0	0	0.021798	1	0	1	0	1	1	0	1	0.227496	0	0	0	0	1	1	0	1	0.047534	0	1	1	0	0	1	1	2	0.951656	0.970057	
9	4200	-4.042048	2	1	3	0	1	0	0	0	0.051942	1	0	1	1	1	1	0	1	0.098690	1	0	1	0	1	2	0	2	0.092850	0	0	0	1	1	1	0	1	0.114000	0	0	0	1	1	1	0	1	0.032612	0	0	0	0	1	0	0	0	0.154445	0	0	0	0	1	0	0	0	0.040929	0	1	1	0	0	0	1	1	0.987476	1.020121	
1	5700	-6.038207	2	1	3	1	1	0	0	0	0.013060	0	0	0	1	1	0	0	0	0.375360	1	0	1	0	1	1	0	1	0.086447	0	0	0	1	1	0	0	0	0.204076	0	0	0	1	1	0	0	0	0.229350	1	0	1	0	1	1	0	1	0.379562	0	0	0	0	1	1	0	1	0.065641	0	1	1	0	0	1	1	2	1.001784	1.159438	
3	5800	-5.041576	2	1	3	1	1	0	0	0	0.072858	0	0	0	1	1	0	0	0	0.128932	1	0	1	0	1	1	0	1	0.081866	0	0	0	1	1	0	0	0	0.195235	0	0	0	1	1	0	0	0	0.026930	0	0	0	1	1	0	0	0	0.106259	0	0	0	1	1	0	0	0	0.127240	1	1	2	0	0	1	1	2	1.140346	1.072054	
8	6200	-8.001472	2	1	3	1	1	0	0	0	0.051445	0	0	0	1	1	0	0	0	0.128932	1	0	1	0	1	1	0	1	0.057274	0	0	0	1	0	0	0	0	0.195235	0	0	0	1	1	0	0	0	0.014354	0	0	0	1	1	0	0	0	0.074411	0	0	0	0	1	0	0	0	0.127240	1	1	2	0	0	1	1	2	1.213278	1.132739	
